-250	-245	0
-245	-240	0
-240	-235	0
-235	-230	0
-230	-225	0
-225	-220	0
-220	-215	0
-215	-210	0
-210	-205	0
-205	-200	0
-200	-195	0
-195	-190	0
-190	-185	0
-185	-180	0
-180	-175	0
-175	-170	0
-170	-165	0
-165	-160	0
-160	-155	0
-155	-150	2
-150	-145	11
-145	-140	422
-140	-135	626
-135	-130	1123
-130	-125	911
-125	-120	797
-120	-115	885
-115	-110	762
-110	-105	696
-105	-100	662
-100	-95	599
-95	-90	571
-90	-85	520
-85	-80	429
-80	-75	431
-75	-70	383
-70	-65	348
-65	-60	349
-60	-55	337
-55	-50	309
-50	-45	310
-45	-40	317
-40	-35	283
-35	-30	285
-30	-25	277
-25	-20	285
-20	-15	248
-15	-10	278
-10	-5	236
-5	0	249
0	5	250
5	10	214
10	15	228
15	20	190
20	25	213
25	30	190
30	35	192
35	40	159
40	45	166
45	50	163
50	55	146
55	60	156
60	65	158
65	70	156
70	75	149
75	80	138
80	85	143
85	90	115
90	95	130
95	100	110
100	105	106
105	110	109
110	115	117
115	120	88
120	125	118
125	130	103
130	135	86
135	140	81
140	145	73
145	150	83
150	155	68
155	160	78
160	165	78
165	170	78
170	175	68
175	180	80
180	185	66
185	190	61
190	195	56
195	200	55
200	205	61
205	210	57
210	215	60
215	220	51
220	225	50
225	230	38
230	235	50
235	240	57
240	245	30
245	250	29
