#Transcript position	Transcript coverage profile
0.0	0.45985873419909556
1.0	0.4042260264404628
2.0	0.35273159793287984
3.0	0.3671858713588195
4.0	0.45302176778357894
5.0	0.4441605183554665
6.0	0.5637428075678307
7.0	0.6041964708223461
8.0	0.6331978685237573
9.0	0.5999104592090854
10.0	0.6187557653760944
11.0	0.5394144500694823
12.0	0.5478151853789882
13.0	0.5706280178579191
14.0	0.6261004970347565
15.0	0.5555764891910384
16.0	0.5142882071730439
17.0	0.5753341237940756
18.0	0.5913445128483436
19.0	0.5378686596381498
20.0	0.5365677657723906
21.0	0.5264146631466311
22.0	0.5223013394521621
23.0	0.5489226302249444
24.0	0.5623393427418908
25.0	0.549123885702771
26.0	0.6081547396518738
27.0	0.6283152324438808
28.0	0.6017757650312505
29.0	0.5784411379643833
30.0	0.5704461494916677
31.0	0.5292552179039716
32.0	0.4248813412532739
33.0	0.3998683585608325
34.0	0.39932279720125324
35.0	0.38475192516228557
36.0	0.3287518996714488
37.0	0.37873718751718766
38.0	0.36281879674015916
39.0	0.2954115225678856
40.0	0.3034601003997321
41.0	0.36102670037431495
42.0	0.44729716742583187
43.0	0.5229352468464404
44.0	0.49082836711918104
45.0	0.4321808396809792
46.0	0.4080865191341557
47.0	0.3888563019183147
48.0	0.4815229955846137
49.0	0.5191967356107045
50.0	0.440789815754155
51.0	0.41418683656757493
52.0	0.38181182477617204
53.0	0.3995698895171052
54.0	0.44559426527467333
55.0	0.42096439578805034
56.0	0.44343771142834787
57.0	0.3672536297344288
58.0	0.3984783545751608
59.0	0.36399552444346395
60.0	0.3656296591320085
61.0	0.40913006257979034
62.0	0.447994456786649
63.0	0.4594623445206448
64.0	0.3747858407585976
65.0	0.3730148297196772
66.0	0.42481471343903154
67.0	0.43085705648401834
68.0	0.38267324214070475
69.0	0.35190212398897214
70.0	0.40533414148698904
71.0	0.48327943551422464
72.0	0.45545942566631875
73.0	0.44145659829383666
74.0	0.3977790171210289
75.0	0.3607566230328528
76.0	0.4074453752024695
77.0	0.49171151621563686
78.0	0.5786566658222257
79.0	0.6334650061308867
80.0	0.6695666066297157
81.0	0.6268825532725967
82.0	0.5560066510059941
83.0	0.47187530619505097
84.0	0.5626608681867893
85.0	0.6744274443406112
86.0	0.686548103329224
87.0	0.7774149752932469
88.0	0.7271533285762998
89.0	0.6340726541326022
90.0	0.7022644328404811
91.0	0.7039207879398276
92.0	0.697652518927596
93.0	0.6861103391550099
94.0	0.5727774345541383
95.0	0.49901326889849285
96.0	0.4948476666952488
97.0	0.41290682810490675
98.0	0.30981504312826463
99.0	0.08840611803525016
